experiment_id,model,method,policy,round,labeled_count,unlabeled_count,train_seconds,query_seconds,test_eval_seconds,modelled_total_seconds,logged_round_seconds,train_share,query_share,eval_share
densenet169_mc_dropout_dual_metric,densenet169,mc_dropout,dual_metric,3,3913,4197,20452.002528817276,18370.340153700894,277.35347635942105,39099.69615887759,1545.112441778183,0.5230731831191903,0.4698333224650879,0.007093494415721897
densenet169_mc_dropout_dual_metric,densenet169,mc_dropout,dual_metric,4,4377,3733,22877.18248623389,16339.405248800877,277.35347635942105,39493.94121139419,1681.9148075580597,0.5792580275486336,0.41371928826609183,0.007022684185274557
densenet169_mc_dropout_dual_metric,densenet169,mc_dropout,dual_metric,5,4666,3444,24387.69327867657,15074.447948119616,277.35347635942105,39739.49470315561,1735.9131875038147,0.6136890632567606,0.3793316462809124,0.006979290462326818
densenet169_mc_dropout_dual_metric,densenet169,mc_dropout,dual_metric,6,4849,3261,25344.17589119217,14273.45422485086,277.35347635942105,39894.98359240245,1782.087066411972,0.635272247511807,0.35777566349392054,0.0069520889942724495
densenet169_mc_dropout_dual_metric,densenet169,mc_dropout,dual_metric,7,5008,3102,26175.21816108278,13577.508858732104,277.35347635942105,40030.080496174305,1826.2000517845156,0.6538887215973587,0.3391826519067258,0.0069286264959154365
densenet169_mc_dropout_dual_metric,densenet169,mc_dropout,dual_metric,8,5169,2941,27016.713792858805,12872.80946285085,277.35347635942105,40166.876732069075,1844.6887006759644,0.672611763495387,0.32048320681536213,0.006905029689250973
densenet169_mc_dropout_dual_metric,densenet169,mc_dropout,dual_metric,9,5327,2783,27842.529381806704,12181.241111613343,277.35347635942105,40301.123969779466,1869.517353773117,0.6908623541786312,0.30225561750455565,0.0068820283168131895
densenet169_mc_dropout_dual_metric,densenet169,mc_dropout,dual_metric,10,5482,2628,28652.66492792648,11502.803805019588,277.35347635942105,40432.82220930549,1926.2362422943115,0.7086486513259557,0.2844917365766334,0.006859612097411024
densenet169_mc_dropout_dual_metric,densenet169,mc_dropout,dual_metric,11,5634,2476,29447.12043121813,10837.497543069583,277.35347635942105,40561.971450647135,1926.086995124817,0.7259785305812182,0.26718369831347727,0.006837771105304501
densenet169_mc_dropout_dual_metric,densenet169,mc_dropout,dual_metric,12,5790,2320,30262.48265828061,10154.683221594578,277.35347635942105,40694.51935623461,1947.9588890075684,0.7436500820507723,0.24953441844838567,0.006815499500841975
densenet169_mc_dropout_dual_metric,densenet169,mc_dropout,dual_metric,13,5941,2169,31051.71148062955,9493.753974525824,277.35347635942105,40822.8189315148,2087.876535177231,0.7606459400249292,0.2325599804965145,0.0067940794785562204
densenet169_mc_dropout_dual_metric,densenet169,mc_dropout,dual_metric,14,6093,2017,31846.1669839212,8828.447712575819,277.35347635942105,40951.96817285644,2033.2591910362244,0.7776467995262143,0.2155805473209818,0.006772653152803898
densenet169_mc_dropout_dual_metric,densenet169,mc_dropout,dual_metric,15,6243,1867,32630.169125327437,8171.895480388313,277.35347635942105,41079.41808207517,2038.687476396561,0.794319166355608,0.19892919281527224,0.006751640829119803
