experiment_id,model,method,policy,target,target_name,kind,n_positive,prevalence,auc,auc_ci_low,auc_ci_high,pr_auc
densenet169_margin_uncertainty_only,densenet169,margin,uncertainty_only,malignant,Malignant (summed class probs),summed_class_probs,349,0.18320209973753282,0.9589554437577802,0.9483382151378461,0.968029854629943,0.8677779634094803
densenet169_mc_dropout_dual_metric,densenet169,mc_dropout,dual_metric,akiec,Actinic Keratoses,class_probability,51,0.026771653543307086,0.9801171817162679,0.9632463393683782,0.9931186488001934,0.774642017878822
densenet169_mc_dropout_dual_metric,densenet169,mc_dropout,dual_metric,bcc,Basal Cell Carcinoma,class_probability,89,0.046719160104986876,0.995489531257734,0.9923622079617247,0.997906579037319,0.9339881568710989
densenet169_mc_dropout_dual_metric,densenet169,mc_dropout,dual_metric,bkl,Benign Keratosis,class_probability,206,0.10813648293963254,0.9662851363166226,0.9532365695595407,0.9779216567525431,0.8475636341574452
densenet169_mc_dropout_dual_metric,densenet169,mc_dropout,dual_metric,df,Dermatofibroma,class_probability,9,0.004724409448818898,0.9998241912798875,0.9992109416096792,1.0,0.9722222222222223
densenet169_mc_dropout_dual_metric,densenet169,mc_dropout,dual_metric,mel,Melanoma,class_probability,209,0.10971128608923884,0.9558615261352351,0.942166237137802,0.9678562620488516,0.7981072356439416
densenet169_mc_dropout_dual_metric,densenet169,mc_dropout,dual_metric,nv,Melanocytic Nevi,class_probability,1327,0.6965879265091863,0.9733039897992976,0.9657037598174258,0.9799508155698615,0.9865054663729517
densenet169_mc_dropout_dual_metric,densenet169,mc_dropout,dual_metric,vasc,Vascular Lesions,class_probability,14,0.007349081364829396,0.9902923623177458,0.9685609685883839,1.0,0.9124895572263994
densenet169_mc_dropout_dual_metric,densenet169,mc_dropout,dual_metric,malignant,Malignant (risk head),risk_head,349,0.18320209973753282,0.9621872260811278,0.9522366736503842,0.9711296477728639,0.8768488431819667
densenet169_mc_dropout_dual_metric,densenet169,mc_dropout,dual_metric,malignant,Malignant (summed class probs),summed_class_probs,349,0.18320209973753282,0.9620785792679782,0.9522905013916168,0.9709185877130074,0.8767716853162397
densenet169_mc_dropout_uncertainty_only,densenet169,mc_dropout,uncertainty_only,akiec,Actinic Keratoses,class_probability,51,0.026771653543307086,0.9670452862914314,0.9408871687179073,0.987660300071735,0.730573574259945
densenet169_mc_dropout_uncertainty_only,densenet169,mc_dropout,uncertainty_only,bcc,Basal Cell Carcinoma,class_probability,89,0.046719160104986876,0.9972219472355591,0.9951632265700727,0.9987255330896562,0.9428489084755745
densenet169_mc_dropout_uncertainty_only,densenet169,mc_dropout,uncertainty_only,bkl,Benign Keratosis,class_probability,206,0.10813648293963254,0.974773853266056,0.9662168821677122,0.982340190843908,0.8686128825613803
densenet169_mc_dropout_uncertainty_only,densenet169,mc_dropout,uncertainty_only,df,Dermatofibroma,class_probability,9,0.004724409448818898,0.9992967651195499,0.9976253298153034,1.0,0.9192982456140352
densenet169_mc_dropout_uncertainty_only,densenet169,mc_dropout,uncertainty_only,mel,Melanoma,class_probability,209,0.10971128608923884,0.9527229845626072,0.9370331174488136,0.9657808496017322,0.799551996400155
densenet169_mc_dropout_uncertainty_only,densenet169,mc_dropout,uncertainty_only,nv,Melanocytic Nevi,class_probability,1327,0.6965879265091863,0.9720862679040321,0.9643209142879636,0.9786772440695315,0.9870854545255364
densenet169_mc_dropout_uncertainty_only,densenet169,mc_dropout,uncertainty_only,vasc,Vascular Lesions,class_probability,14,0.007349081364829396,0.9996978167258442,0.9989016631395454,1.0,0.9740259740259739
densenet169_mc_dropout_uncertainty_only,densenet169,mc_dropout,uncertainty_only,malignant,Malignant (risk head),risk_head,349,0.18320209973753282,0.9581912331229145,0.9469983469596356,0.9679560021777504,0.8688974034964237
densenet169_mc_dropout_uncertainty_only,densenet169,mc_dropout,uncertainty_only,malignant,Malignant (summed class probs),summed_class_probs,349,0.18320209973753282,0.9576369502287108,0.9459395447091428,0.9676149940162998,0.8686614834692666
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,akiec,Actinic Keratoses,class_probability,51,0.026771653543307086,0.9682086426803731,0.951614708310712,0.9822161310575295,0.6656856042341985
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,bcc,Basal Cell Carcinoma,class_probability,89,0.046719160104986876,0.9941469088749195,0.9898927358073155,0.9974712264759298,0.9263874238239184
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,bkl,Benign Keratosis,class_probability,206,0.10813648293963254,0.9635593753035766,0.9517013579914703,0.9739262004974845,0.8313980290463
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,df,Dermatofibroma,class_probability,9,0.004724409448818898,0.9995311767463666,0.9982446901878181,1.0,0.9390432098765432
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,mel,Melanoma,class_probability,209,0.10971128608923884,0.937957028076194,0.9205771994342505,0.9533245664627525,0.7490357864419862
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,nv,Melanocytic Nevi,class_probability,1327,0.6965879265091863,0.9629540055749238,0.9551937863474494,0.9707061083386581,0.9824795974965551
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,vasc,Vascular Lesions,class_probability,14,0.007349081364829396,0.9887436730376974,0.9632685078191551,1.0,0.8822490665105678
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,malignant,Malignant (risk head),risk_head,349,0.18320209973753282,0.9428407274548656,0.929439985346573,0.9552715818966807,0.845886219908589
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,malignant,Malignant (summed class probs),summed_class_probs,349,0.18320209973753282,0.9431961314368633,0.9295036069156218,0.9559044603636685,0.8483219450935023
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,akiec,Actinic Keratoses,class_probability,51,0.026771653543307086,0.9546819806671321,0.9232712122976253,0.979735373807382,0.6817193242181212
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,bcc,Basal Cell Carcinoma,class_probability,89,0.046719160104986876,0.9933982576845023,0.9880963059240079,0.9972408070516919,0.923056092709868
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,bkl,Benign Keratosis,class_probability,206,0.10813648293963254,0.9516334565735413,0.9356729657582773,0.9655868552995762,0.7884578472517287
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,df,Dermatofibroma,class_probability,9,0.004724409448818898,0.9992381622128458,0.9976303317535545,1.0,0.9054093567251462
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,mel,Melanoma,class_probability,209,0.10971128608923884,0.9260094113929764,0.9060817721475823,0.9434067706172297,0.7052908931376922
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,nv,Melanocytic Nevi,class_probability,1327,0.6965879265091863,0.960019217581088,0.9512476972162177,0.9682602439215819,0.980942964703267
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,vasc,Vascular Lesions,class_probability,14,0.007349081364829396,0.9917655057792552,0.9732840172142283,1.0,0.897851651871511
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,malignant,Malignant (risk head),risk_head,349,0.18320209973753282,0.9312173599192699,0.9142825393598968,0.9460227118191651,0.8237942355177642
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,malignant,Malignant (summed class probs),summed_class_probs,349,0.18320209973753282,0.9326886955753125,0.9161085835318452,0.9467542884514403,0.827549017687577
