experiment_id,model,policy,sigma,predicted_class,count,share
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.03,bcc,14,0.007349081364829396
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.03,bkl,515,0.27034120734908135
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.03,df,32,0.01679790026246719
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.03,mel,61,0.032020997375328084
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.03,nv,1276,0.6698162729658793
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.03,vasc,5,0.0026246719160104987
densenet169_entropy_dual_metric,densenet169,dual_metric,0.05,akiec,0,0.0
densenet169_entropy_dual_metric,densenet169,dual_metric,0.05,bcc,2,0.0010498687664041995
densenet169_entropy_dual_metric,densenet169,dual_metric,0.05,bkl,525,0.2755905511811024
densenet169_entropy_dual_metric,densenet169,dual_metric,0.05,df,0,0.0
densenet169_entropy_dual_metric,densenet169,dual_metric,0.05,mel,103,0.05406824146981627
densenet169_entropy_dual_metric,densenet169,dual_metric,0.05,nv,1275,0.6692913385826772
densenet169_entropy_dual_metric,densenet169,dual_metric,0.05,vasc,0,0.0
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.05,akiec,0,0.0
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.05,bcc,0,0.0
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.05,bkl,663,0.3480314960629921
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.05,df,2,0.0010498687664041995
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.05,mel,17,0.008923884514435695
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.05,nv,1223,0.641994750656168
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.05,vasc,0,0.0
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.05,akiec,8,0.004199475065616798
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.05,bcc,4,0.002099737532808399
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.05,bkl,2,0.0010498687664041995
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.05,df,1875,0.984251968503937
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.05,mel,0,0.0
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.05,nv,16,0.008398950131233596
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.05,vasc,0,0.0
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.05,akiec,0,0.0
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.05,bcc,0,0.0
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.05,bkl,1,0.0005249343832020997
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.05,df,1901,0.9979002624671915
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.05,mel,0,0.0
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.05,nv,2,0.0010498687664041995
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.05,vasc,1,0.0005249343832020997
resnet50_entropy_dual_metric,resnet50,dual_metric,0.05,akiec,2,0.0010498687664041995
resnet50_entropy_dual_metric,resnet50,dual_metric,0.05,bcc,23,0.012073490813648294
resnet50_entropy_dual_metric,resnet50,dual_metric,0.05,bkl,255,0.13385826771653545
resnet50_entropy_dual_metric,resnet50,dual_metric,0.05,df,71,0.03727034120734908
resnet50_entropy_dual_metric,resnet50,dual_metric,0.05,mel,29,0.015223097112860892
resnet50_entropy_dual_metric,resnet50,dual_metric,0.05,nv,1523,0.7994750656167979
resnet50_entropy_dual_metric,resnet50,dual_metric,0.05,vasc,2,0.0010498687664041995
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.05,akiec,0,0.0
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.05,bcc,4,0.002099737532808399
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.05,bkl,529,0.27769028871391077
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.05,df,44,0.023097112860892388
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.05,mel,14,0.007349081364829396
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.05,nv,1312,0.6887139107611548
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.05,vasc,2,0.0010498687664041995
densenet169_entropy_dual_metric,densenet169,dual_metric,0.1,akiec,0,0.0
densenet169_entropy_dual_metric,densenet169,dual_metric,0.1,bcc,0,0.0
densenet169_entropy_dual_metric,densenet169,dual_metric,0.1,bkl,637,0.33438320209973754
densenet169_entropy_dual_metric,densenet169,dual_metric,0.1,df,0,0.0
densenet169_entropy_dual_metric,densenet169,dual_metric,0.1,mel,27,0.014173228346456693
densenet169_entropy_dual_metric,densenet169,dual_metric,0.1,nv,1241,0.6514435695538058
densenet169_entropy_dual_metric,densenet169,dual_metric,0.1,vasc,0,0.0
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.1,akiec,0,0.0
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.1,bcc,0,0.0
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.1,bkl,564,0.29606299212598425
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.1,df,0,0.0
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.1,mel,0,0.0
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.1,nv,1341,0.7039370078740157
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.1,vasc,0,0.0
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.1,akiec,0,0.0
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.1,bcc,843,0.44251968503937006
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.1,bkl,0,0.0
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.1,df,1061,0.5569553805774278
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.1,mel,0,0.0
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.1,nv,0,0.0
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.1,vasc,1,0.0005249343832020997
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.1,akiec,0,0.0
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.1,bcc,0,0.0
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.1,bkl,0,0.0
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.1,df,1905,1.0
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.1,mel,0,0.0
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.1,nv,0,0.0
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.1,vasc,0,0.0
resnet50_entropy_dual_metric,resnet50,dual_metric,0.1,akiec,0,0.0
resnet50_entropy_dual_metric,resnet50,dual_metric,0.1,bcc,0,0.0
resnet50_entropy_dual_metric,resnet50,dual_metric,0.1,bkl,63,0.03307086614173228
resnet50_entropy_dual_metric,resnet50,dual_metric,0.1,df,6,0.0031496062992125984
resnet50_entropy_dual_metric,resnet50,dual_metric,0.1,mel,2,0.0010498687664041995
resnet50_entropy_dual_metric,resnet50,dual_metric,0.1,nv,1834,0.9627296587926509
resnet50_entropy_dual_metric,resnet50,dual_metric,0.1,vasc,0,0.0
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.1,akiec,0,0.0
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.1,bcc,0,0.0
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.1,bkl,702,0.36850393700787404
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.1,df,40,0.02099737532808399
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.1,mel,1,0.0005249343832020997
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.1,nv,1162,0.6099737532808399
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.1,vasc,0,0.0
