experiment_id,model,method,policy,corruption,accuracy,melanoma_recall,fn_rate_malignant,risk_auroc,mean_confidence,accuracy_clean,melanoma_recall_clean,risk_auroc_clean,fn_rate_malignant_clean,accuracy_retained,melanoma_recall_retained,risk_auroc_retained,fn_rate_increase
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,gaussian_noise_0.05,0.7107611548556431,0.2966507177033493,0.7879656160458453,0.8117832072539242,0.9554077429028871,0.889763779527559,0.7511961722488039,0.9559547660963016,0.1977077363896848,0.7988200589970502,0.3949044585987261,0.8491857941865695,0.5902578796561604
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,gaussian_noise_0.10,0.6388451443569554,0.08133971291866028,0.9426934097421203,0.7591834179182534,0.9519879645459318,0.889763779527559,0.7511961722488039,0.9559547660963016,0.1977077363896848,0.7179941002949852,0.10828025477707005,0.7941624905730887,0.7449856733524356
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,jpeg_q30,0.815748031496063,0.4688995215311005,0.47564469914040114,0.9094272287328466,0.9478749760367454,0.889763779527559,0.7511961722488039,0.9559547660963016,0.1977077363896848,0.9168141592920355,0.6242038216560509,0.9513287249422345,0.27793696275071633
densenet169_entropy_uncertainty_only,densenet169,entropy,uncertainty_only,blur_1.5,0.8031496062992126,0.3444976076555024,0.5243553008595988,0.9033153851253305,0.9601058328713911,0.8876640419947507,0.7033492822966507,0.9505970050308999,0.22922636103151864,0.9047900650502662,0.489795918367347,0.9502611309994264,0.2951289398280802
densenet169_entropy_uncertainty_only,densenet169,entropy,uncertainty_only,brightness_0.7,0.8818897637795275,0.722488038277512,0.2349570200573066,0.9475125404202974,0.9674462425721786,0.8876640419947507,0.7033492822966507,0.9505970050308999,0.22922636103151864,0.9934949733885274,1.0272108843537415,0.99675523424303,0.005730659025787954
densenet169_entropy_uncertainty_only,densenet169,entropy,uncertainty_only,contrast_0.7,0.8824146981627297,0.631578947368421,0.25787965616045844,0.9458828382230537,0.9630874538740158,0.8876640419947507,0.7033492822966507,0.9505970050308999,0.22922636103151864,0.9940863394441158,0.8979591836734693,0.9950408356191981,0.0286532951289398
densenet169_entropy_uncertainty_only,densenet169,entropy,uncertainty_only,gaussian_noise_0.01,0.8855643044619422,0.6889952153110048,0.25787965616045844,0.9444308380168089,0.9681714080839894,0.8876640419947507,0.7033492822966507,0.9505970050308999,0.22922636103151864,0.9976345357776463,0.979591836734694,0.9935133742464394,0.0286532951289398
densenet169_entropy_uncertainty_only,densenet169,entropy,uncertainty_only,gaussian_noise_0.02,0.815748031496063,0.5550239234449761,0.44412607449856734,0.9111582118576027,0.9571894331338583,0.8876640419947507,0.7033492822966507,0.9505970050308999,0.22922636103151864,0.9189828503843879,0.7891156462585034,0.9585115533032683,0.2148997134670487
densenet169_entropy_uncertainty_only,densenet169,entropy,uncertainty_only,gaussian_noise_0.03,0.7259842519685039,0.28708133971291866,0.7449856733524355,0.8646426440583084,0.9527584628818897,0.8876640419947507,0.7033492822966507,0.9505970050308999,0.22922636103151864,0.8178592548787699,0.40816326530612246,0.9095785485145753,0.5157593123209169
densenet169_entropy_uncertainty_only,densenet169,entropy,uncertainty_only,gaussian_noise_0.05,0.6740157480314961,0.05263157894736842,0.9541547277936963,0.7646268074041882,0.9590567813700789,0.8876640419947507,0.7033492822966507,0.9505970050308999,0.22922636103151864,0.7593140153755175,0.07482993197278912,0.8043648395245401,0.7249283667621776
densenet169_entropy_uncertainty_only,densenet169,entropy,uncertainty_only,gaussian_noise_0.10,0.6540682414698162,0.0,1.0,0.6313153261982455,0.936414314824147,0.8876640419947507,0.7033492822966507,0.9505970050308999,0.22922636103151864,0.7368421052631579,0.0,0.6641250949215057,0.7707736389684814
densenet169_entropy_uncertainty_only,densenet169,entropy,uncertainty_only,jpeg_q30,0.8204724409448819,0.6746411483253588,0.36962750716332377,0.9028531758015925,0.9355512815013123,0.8876640419947507,0.7033492822966507,0.9505970050308999,0.22922636103151864,0.9243051448846836,0.9591836734693877,0.9497749004292776,0.14040114613180513
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,blur_1.5,0.7863517060367454,0.3492822966507177,0.46418338108882523,0.8855194054257114,0.9358121310341206,0.8745406824146982,0.6842105263157895,0.9428407274548656,0.24355300859598855,0.8991596638655462,0.5104895104895104,0.9392035999718752,0.22063037249283668
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,brightness_0.7,0.8661417322834646,0.6746411483253588,0.2607449856733524,0.9364388521003822,0.9408574342834646,0.8745406824146982,0.6842105263157895,0.9428407274548656,0.24355300859598855,0.9903961584633854,0.9860139860139859,0.9932100139842657,0.017191977077363862
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,contrast_0.7,0.8608923884514436,0.5980861244019139,0.28939828080229224,0.9356718792584027,0.9384565544041995,0.8745406824146982,0.6842105263157895,0.9428407274548656,0.24355300859598855,0.9843937575030012,0.8741258741258742,0.9923965437770017,0.04584527220630369
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,gaussian_noise_0.01,0.85249343832021,0.6746411483253588,0.3037249283667622,0.9284201648485205,0.9409217120787401,0.8745406824146982,0.6842105263157895,0.9428407274548656,0.24355300859598855,0.9747899159663865,0.9860139860139859,0.9847051976156436,0.06017191977077363
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,gaussian_noise_0.02,0.7553805774278215,0.6555023923444976,0.35816618911174786,0.8833998718335899,0.8772251330131234,0.8745406824146982,0.6842105263157895,0.9428407274548656,0.24355300859598855,0.8637454981992797,0.958041958041958,0.9369555706596042,0.1146131805157593
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,gaussian_noise_0.03,0.43622047244094486,0.2679425837320574,0.6303724928366762,0.6722779369627507,0.585870318351706,0.8745406824146982,0.6842105263157895,0.9428407274548656,0.24355300859598855,0.49879951980792314,0.3916083916083916,0.713034468480715,0.3868194842406876
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,gaussian_noise_0.05,0.009973753280839895,0.0,0.994269340974212,0.42427869564897136,0.2523382285826772,0.8745406824146982,0.6842105263157895,0.9428407274548656,0.24355300859598855,0.01140456182472989,0.0,0.45000039062194824,0.7507163323782235
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,gaussian_noise_0.10,0.02204724409448819,0.0,0.5702005730659025,0.4712573935077084,0.1960057504776903,0.8745406824146982,0.6842105263157895,0.9428407274548656,0.24355300859598855,0.025210084033613446,0.0,0.4998271497878923,0.326647564469914
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,jpeg_q30,0.789501312335958,0.49760765550239233,0.39255014326647564,0.8878147995374224,0.9065641029396325,0.8745406824146982,0.6842105263157895,0.9428407274548656,0.24355300859598855,0.9027611044417767,0.7272727272727272,0.9416381512644432,0.14899713467048709
