model,method,method_key,round,total_labels,labeled_count,accuracy,f1_macro,fn_rate_malignant,unsafe_auto_accepts
efficientnet_b4,Uncertainty-only,entropy_uncertainty_only,1,1068,1558,0.2530183727034121,0.159064827415595,0.2349570200573066,1229
efficientnet_b4,Uncertainty-only,entropy_uncertainty_only,2,1406,1896,0.6146981627296588,0.3776975808102921,0.2722063037249284,1139
efficientnet_b4,Uncertainty-only,entropy_uncertainty_only,3,1556,2046,0.710236220472441,0.4848483949940472,0.2750716332378223,1088
efficientnet_b4,Uncertainty-only,entropy_uncertainty_only,4,1706,2196,0.7417322834645669,0.5383854498915894,0.3037249283667622,1025
efficientnet_b4,Uncertainty-only,entropy_uncertainty_only,5,1856,2346,0.7805774278215223,0.5969547701618263,0.2922636103151863,958
efficientnet_b4,Uncertainty-only,entropy_uncertainty_only,6,2006,2496,0.8089238845144356,0.6362834758075856,0.2464183381088825,900
efficientnet_b4,Uncertainty-only,entropy_uncertainty_only,7,2156,2646,0.8125984251968504,0.6799847136582212,0.2349570200573066,850
efficientnet_b4,Uncertainty-only,entropy_uncertainty_only,8,2306,2796,0.8383202099737532,0.7154349066530371,0.2693409742120344,793
efficientnet_b4,Uncertainty-only,entropy_uncertainty_only,9,2456,2946,0.8356955380577428,0.7165039905504551,0.2722063037249284,745
efficientnet_b4,Uncertainty-only,entropy_uncertainty_only,10,2606,3096,0.841994750656168,0.7153621228275274,0.2951289398280802,692
efficientnet_b4,Uncertainty-only,entropy_uncertainty_only,11,2756,3246,0.8435695538057743,0.7174910626380739,0.2435530085959885,655
efficientnet_b4,Uncertainty-only,entropy_uncertainty_only,12,2906,3396,0.8509186351706036,0.7155058853953049,0.2492836676217765,615
efficientnet_b4,Uncertainty-only,entropy_uncertainty_only,13,3056,3546,0.8593175853018372,0.7241361602204686,0.2693409742120344,580
efficientnet_b4,Uncertainty-only,entropy_uncertainty_only,14,3206,3696,0.8561679790026246,0.7460409033912532,0.2435530085959885,554
efficientnet_b4,Uncertainty-only,entropy_uncertainty_only,15,3356,3846,0.8503937007874016,0.7487771967964997,0.2435530085959885,523
resnet50,BADGE,baseline_badge,1,810,1300,0.5364829396325459,0.3218203902439265,0.2578796561604584,1229
resnet50,BADGE,baseline_badge,2,1394,1884,0.7412073490813649,0.5410078141358315,0.2750716332378223,1061
resnet50,BADGE,baseline_badge,3,1795,2285,0.8120734908136483,0.6652890849624391,0.2922636103151863,941
resnet50,BADGE,baseline_badge,4,2323,2813,0.8309711286089239,0.6973644209233015,0.3008595988538682,783
resnet50,BADGE,baseline_badge,5,2740,3230,0.8467191601049868,0.7258518593292637,0.2550143266475644,668
resnet50,BADGE,baseline_badge,6,3105,3595,0.8572178477690289,0.7331194132533981,0.2636103151862464,569
resnet50,BADGE,baseline_badge,7,3377,3867,0.8671916010498688,0.7367147002347982,0.2435530085959885,484
resnet50,BADGE,baseline_badge,8,3586,4076,0.8740157480314961,0.7773392240155911,0.2234957020057306,425
resnet50,BADGE,baseline_badge,9,3755,4245,0.8724409448818897,0.7749576317619198,0.2378223495702005,387
resnet50,BADGE,baseline_badge,10,3910,4400,0.8829396325459318,0.7749547545260123,0.2435530085959885,350
resnet50,BADGE,baseline_badge,11,4062,4552,0.8818897637795275,0.792991573292075,0.2263610315186246,308
resnet50,BADGE,baseline_badge,12,4217,4707,0.8929133858267716,0.8046986236338657,0.2206303724928366,272
resnet50,BADGE,baseline_badge,13,4373,4863,0.8834645669291339,0.7965628080999377,0.2292263610315186,255
resnet50,BADGE,baseline_badge,14,4526,5016,0.883989501312336,0.7948182877208476,0.2320916905444126,238
resnet50,BADGE,baseline_badge,15,4678,5168,0.8929133858267716,0.7992718542752163,0.2234957020057306,224
resnet50,CLUE,baseline_clue,1,810,1300,0.5364829396325459,0.3218203902439265,0.2578796561604584,1256
resnet50,CLUE,baseline_clue,2,1394,1884,0.7228346456692913,0.5405532057593809,0.2922636103151863,1092
resnet50,CLUE,baseline_clue,3,1795,2285,0.8131233595800524,0.6816994148915357,0.2636103151862464,961
resnet50,CLUE,baseline_clue,4,2323,2813,0.8362204724409449,0.7454994290104043,0.2836676217765043,801
resnet50,CLUE,baseline_clue,5,2740,3230,0.8440944881889764,0.7434714500941195,0.2836676217765043,690
resnet50,CLUE,baseline_clue,6,3105,3595,0.8551181102362204,0.7401028485808139,0.2664756446991404,587
resnet50,CLUE,baseline_clue,7,3377,3867,0.8624671916010499,0.7759845435348921,0.2292263610315186,501
resnet50,CLUE,baseline_clue,8,3586,4076,0.8750656167979003,0.7822029453305165,0.2406876790830945,450
resnet50,CLUE,baseline_clue,9,3755,4245,0.8797900262467192,0.7857794278086646,0.2234957020057306,411
resnet50,CLUE,baseline_clue,10,3910,4400,0.8834645669291339,0.8062488747216855,0.2206303724928366,371
resnet50,CLUE,baseline_clue,11,4062,4552,0.8876640419947507,0.8003934410179067,0.2034383954154728,335
resnet50,CLUE,baseline_clue,12,4217,4707,0.884514435695538,0.7891270695442661,0.2234957020057306,303
resnet50,CLUE,baseline_clue,13,4373,4863,0.8850393700787401,0.7945663230887272,0.2578796561604584,268
resnet50,CLUE,baseline_clue,14,4526,5016,0.8965879265091864,0.7956183017340971,0.2034383954154728,241
resnet50,CLUE,baseline_clue,15,4678,5168,0.8834645669291339,0.7989916902394596,0.2378223495702005,214
resnet50,CoreSet,baseline_coreset,1,810,1300,0.5364829396325459,0.3218203902439265,0.2578796561604584,1228
resnet50,CoreSet,baseline_coreset,2,1394,1884,0.7611548556430446,0.539695054610328,0.2922636103151863,1074
resnet50,CoreSet,baseline_coreset,3,1795,2285,0.8341207349081364,0.6643051228088563,0.2779369627507163,974
resnet50,CoreSet,baseline_coreset,4,2323,2813,0.8398950131233596,0.703405767501706,0.2607449856733524,817
resnet50,CoreSet,baseline_coreset,5,2740,3230,0.8545931758530184,0.7593952243537301,0.2263610315186246,723
resnet50,CoreSet,baseline_coreset,6,3105,3595,0.8545931758530184,0.7217359402200759,0.2034383954154728,648
resnet50,CoreSet,baseline_coreset,7,3377,3867,0.8724409448818897,0.775836703041703,0.2091690544412607,592
resnet50,CoreSet,baseline_coreset,8,3586,4076,0.8792650918635171,0.797259434369397,0.2464183381088825,535
resnet50,CoreSet,baseline_coreset,9,3755,4245,0.873490813648294,0.7782845504362124,0.2550143266475644,498
resnet50,CoreSet,baseline_coreset,10,3910,4400,0.8813648293963254,0.791989786230662,0.2349570200573066,462
resnet50,CoreSet,baseline_coreset,11,4062,4552,0.8892388451443569,0.8128117726531023,0.2263610315186246,450
resnet50,CoreSet,baseline_coreset,12,4217,4707,0.8850393700787401,0.7783921116629596,0.2349570200573066,431
resnet50,CoreSet,baseline_coreset,13,4373,4863,0.8782152230971129,0.7970341365074957,0.2406876790830945,398
resnet50,CoreSet,baseline_coreset,14,4526,5016,0.8887139107611548,0.8132491489845857,0.2177650429799427,380
resnet50,CoreSet,baseline_coreset,15,4678,5168,0.8855643044619422,0.7945977224012906,0.2177650429799427,365
resnet50,VAAL,baseline_vaal,1,810,1300,0.5364829396325459,0.3218203902439265,0.2578796561604584,1295
resnet50,VAAL,baseline_vaal,2,1394,1884,0.637270341207349,0.4513228768923777,0.2893982808022922,1179
resnet50,VAAL,baseline_vaal,3,1795,2285,0.726509186351706,0.5131165630830717,0.3467048710601719,1108
resnet50,VAAL,baseline_vaal,4,2323,2813,0.794750656167979,0.5893300802026066,0.2893982808022922,964
resnet50,VAAL,baseline_vaal,5,2740,3230,0.8078740157480315,0.6626914357544134,0.2406876790830945,950
resnet50,VAAL,baseline_vaal,6,3105,3595,0.8031496062992126,0.663748982677171,0.3065902578796561,880
resnet50,VAAL,baseline_vaal,7,3377,3867,0.8220472440944881,0.6576224366826925,0.326647564469914,814
resnet50,VAAL,baseline_vaal,8,3586,4076,0.8272965879265092,0.676721126978837,0.3409742120343839,772
resnet50,VAAL,baseline_vaal,9,3755,4245,0.8446194225721785,0.7418801365969961,0.2750716332378223,751
resnet50,VAAL,baseline_vaal,10,3910,4400,0.8482939632545932,0.7084233796517427,0.2922636103151863,721
